"CBSA","metro_name","total_under30","total_under50","total_under80","total_served30","total_served50","total_served80","vg_30","vg_50","vg_80"
14460,"Boston, MA",219435,331330,458085,68670,68670,68670,0.687059949415544,0.792744393806779,0.850093323291529
14460,"Cambridge-Newton-Framingham, MA",219435,331330,458085,68670,68670,68670,0.687059949415544,0.792744393806779,0.850093323291529
14460,"Rockingham County-Strafford County, NH",219435,331330,458085,68670,68670,68670,0.687059949415544,0.792744393806779,0.850093323291529
16980,"Chicago-Naperville-Evanston, IL",324625,536075,780215,95057,95057,95057,0.707179052753177,0.822679662360677,0.8781656338317
16980,"Elgin, IL",324625,536075,780215,95057,95057,95057,0.707179052753177,0.822679662360677,0.8781656338317
16980,"Gary, IN",324625,536075,780215,95057,95057,95057,0.707179052753177,0.822679662360677,0.8781656338317
16980,"Lake County-Kenosha County, IL-WI",324625,536075,780215,95057,95057,95057,0.707179052753177,0.822679662360677,0.8781656338317
19100,"Dallas-Plano-Irving, TX",198105,379440,625225,50148,50148,50148,0.746861512834103,0.867836812144213,0.919792074853053
19100,"Fort Worth-Arlington-Grapevine, TX",198105,379440,625225,50148,50148,50148,0.746861512834103,0.867836812144213,0.919792074853053
19820,"Detroit-Dearborn-Livonia, MI",137310,223445,328110,30670,30670,30670,0.776636807224528,0.862740271655217,0.906525250678126
19820,"Warren-Troy-Farmington Hills, MI",137310,223445,328110,30670,30670,30670,0.776636807224528,0.862740271655217,0.906525250678126
31080,"Anaheim-Santa Ana-Irvine, CA",597265,985965,1449705,123073,123073,123073,0.793939038785129,0.875175082279797,0.915104797182875
31080,"Los Angeles-Long Beach-Glendale, CA",597265,985965,1449705,123073,123073,123073,0.793939038785129,0.875175082279797,0.915104797182875
33100,"Fort Lauderdale-Pompano Beach-Sunrise, FL",212440,371505,573160,50294,50294,50294,0.763255507437394,0.864620933769397,0.912251378323679
33100,"Miami-Miami Beach-Kendall, FL",212440,371505,573160,50294,50294,50294,0.763255507437394,0.864620933769397,0.912251378323679
33100,"West Palm Beach-Boca Raton-Boynton Beach, FL",212440,371505,573160,50294,50294,50294,0.763255507437394,0.864620933769397,0.912251378323679
35620,"Nassau County-Suffolk County, NY",1055780,1611820,2210765,262477,262477,262477,0.7513904411904,0.837154893226291,0.881273224426839
35620,"New Brunswick-Lakewood, NJ",1055780,1611820,2210765,262477,262477,262477,0.7513904411904,0.837154893226291,0.881273224426839
35620,"New York-Jersey City-White Plains, NY-NJ",1055780,1611820,2210765,262477,262477,262477,0.7513904411904,0.837154893226291,0.881273224426839
35620,"Newark, NJ-PA",1055780,1611820,2210765,262477,262477,262477,0.7513904411904,0.837154893226291,0.881273224426839
37980,"Camden, NJ",219610,354525,510490,50336,50336,50336,0.770793679704932,0.858018475424864,0.901396697290838
37980,"Montgomery County-Bucks County-Chester County, PA",219610,354525,510490,50336,50336,50336,0.770793679704932,0.858018475424864,0.901396697290838
37980,"Philadelphia, PA",219610,354525,510490,50336,50336,50336,0.770793679704932,0.858018475424864,0.901396697290838
37980,"Wilmington, DE-MD-NJ",219610,354525,510490,50336,50336,50336,0.770793679704932,0.858018475424864,0.901396697290838
41860,"Oakland-Berkeley-Livermore, CA",186635,291000,416995,59613,59613,59613,0.680590457309722,0.795144329896907,0.857041451336347
41860,"San Francisco-San Mateo-Redwood City, CA",186635,291000,416995,59613,59613,59613,0.680590457309722,0.795144329896907,0.857041451336347
41860,"San Rafael, CA",186635,291000,416995,59613,59613,59613,0.680590457309722,0.795144329896907,0.857041451336347
42660,"Seattle-Bellevue-Kent, WA",123495,215395,329200,39639,39639,39639,0.679023442244625,0.815970658557534,0.879589914945322
42660,"Tacoma-Lakewood, WA",123495,215395,329200,39639,39639,39639,0.679023442244625,0.815970658557534,0.879589914945322
47900,"Frederick-Gaithersburg-Rockville, MD",195695,326660,415650,48303,48303,48303,0.75317202790056,0.852130655727668,0.883789245759654
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",195695,326660,415650,48303,48303,48303,0.75317202790056,0.852130655727668,0.883789245759654
