OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
1,4027000908,04,027,000908,,,,,32552803.55,27136.52528
2,4027011000,04,027,011000,,,,,98070826.29,49671.90401
3,4027980003,04,027,980003,,,,,2586767865,218560.3105
4,4027000902,04,027,000902,,,72,13.46000004,1843181.469,5771.587445
5,4027010913,04,027,010913,,,,,34110431.06,34019.44284
6,4027011112,04,027,011112,,,,,4332055.988,11227.57902
7,4027011107,04,027,011107,,,,,35085409.21,26099.42556
8,4027010914,04,027,010914,,,,,324734229.4,156097.9299
9,4027011202,04,027,011202,,,,,753313736.7,165570.5111
10,4027980005,04,027,980005,,,,,79321339,46776.55004
11,4027980004,04,027,980004,,,,,5539436755,393983.1097
12,4027000302,04,027,000302,,,192,27.38999939,2297825.766,7595.265731
13,4027000402,04,027,000402,,,,,4488124.867,8926.114978
14,4027000600,04,027,000600,,,68,7.420000076,2849999.434,7401.228264
15,4027000700,04,027,000700,,,202,22,4500029.461,9080.855335
16,4019004325,04,019,004325,,,,,124760188.1,56344.68546
17,4019004049,04,019,004049,,,25,3.910000086,3628438.215,7614.916303
18,4019004050,04,019,004050,,,,,10188919.55,15136.8807
19,4019004046,04,019,004046,,,31,2.950000048,2935630.676,7228.379178
20,4019004056,04,019,004056,,,,,2709482.785,8087.370344
21,4015950500,04,015,950500,,,21,7.71999979,1951434306,258586.4166
22,4015954900,04,015,954900,,,35,5.730000019,33647628.34,31071.09995
23,4015951800,04,015,951800,,,,,5643142.816,13314.81913
24,4015952400,04,015,952400,,,,,449331246,118364.5481
25,4027012100,04,027,012100,,,,,9296172902,494970.1321
26,4027000200,04,027,000200,,,48,9.539999962,2295381.348,6655.56846
27,4027000301,04,027,000301,,,60,12.98999977,4896510.922,11842.4206
28,4027000800,04,027,000800,,,171,15.65999985,3289247.285,7375.73404
29,4027000901,04,027,000901,,,31,13.84000015,2236494.141,6250.683472
30,4027000903,04,027,000903,,,,,2737774.938,7607.44907
31,4027001100,04,027,001100,,,122,13.71000004,3151755.219,7635.437337
32,4027001200,04,027,001200,,,14,4.579999924,6947611.547,11871.56938
33,4027011501,04,027,011501,,,,,140322271.4,88419.80553
34,4027000100,04,027,000100,,,66,14.18999958,5567694.961,11012.70339
35,4019004057,04,019,004057,,,,,4790695.223,9580.221019
36,4019004058,04,019,004058,,,,,9500515.539,14326.15186
37,4019004110,04,019,004110,,,,,1786442.945,5655.328382
38,4009961201,04,009,961201,,,11,2.200000048,31873587.7,28343.3446
39,4013813200,04,013,813200,,,,,3702098.23,7735.189538
40,4021000902,04,021,000902,,,,,13392393.04,19019.82341
41,4005000200,04,005,000200,,,57,5.53000021,15922646.53,21153.65441
42,4017963300,04,017,963300,,,,,1083291554,174854.6317
43,4017963800,04,017,963800,,,,,554570326.8,131321.1824
44,4017940301,04,017,940301,,,,,33290598.8,32582.97161
45,4019002702,04,019,002702,,,112,6.840000153,4576487.137,10903.01761
46,4019002801,04,019,002801,,,27,3.299999952,1604564.473,5822.757117
47,4019002802,04,019,002802,,,77,4.860000134,1812882.699,5686.194913
48,4019002803,04,019,002803,,,31,4.320000172,1177430.191,6177.710632
49,4019004034,04,019,004034,,,130,17.37999916,1678095.871,5680.332175
50,4019004035,04,019,004035,,,22,3.230000019,2928387.328,8930.664862
51,4019004038,04,019,004038,,,,,1819702.531,5718.77692
52,4019004043,04,019,004043,,,,,3620327.984,7611.990211
53,4019004044,04,019,004044,,,,,14701256.24,19235.58792
54,4019004042,04,019,004042,,,11,1.179999948,3638044.102,7645.087668
55,4019004047,04,019,004047,,,,,3610182.859,11734.20319
56,4019004048,04,019,004048,,,27,4.309999943,3652235.16,7633.148749
57,4019001200,04,019,001200,,,26,3.640000105,5723874.02,10255.51705
58,4019001302,04,019,001302,,,129,14.46000004,2337089.188,6278.308218
59,4019001400,04,019,001400,,,41,2.309999943,2889218.512,7945.897941
60,4019004623,04,019,004623,,,,,8292060.125,12754.84071
61,4017963700,04,017,963700,,,,,22177914.35,19891.73419
62,4021000313,04,021,000313,,,,,3723343.98,7725.253136
63,4021001408,04,021,001408,,,,,29639966.37,26486.34498
64,4021001305,04,021,001305,,,19,2.549999952,15166843.9,15600.88868
65,4021001306,04,021,001306,,,60,7.099999905,7515185.234,11609.01223
66,4021001405,04,021,001405,,,41,7.980000019,7690270.414,11815.84812
67,4021000310,04,021,000310,,,,,12293075.13,16337.48014
68,4021000312,04,021,000312,,,15,2.960000038,3619343.828,9381.874615
69,4003000202,04,003,000202,,,,,195088785.6,84481.30732
70,4003000203,04,003,000203,,,,,1260213433,209758.2174
71,4003000201,04,003,000201,,,,,1208976057,184482.187
72,4003002002,04,003,002002,,,,,170285928.4,55219.25549
73,4003000902,04,003,000902,,,25,6.360000134,3328487.152,9485.842299
74,4003000901,04,003,000901,,,39,7.769999981,2607949.891,6730.195027
75,4003001602,04,003,001602,,,28,3.279999971,6073497.852,11690.22821
76,4003001601,04,003,001601,,,57,5.309999943,4613154.246,9490.51563
77,4003001701,04,003,001701,,,36,2.839999914,3756155.578,7589.396478
78,4003001502,04,003,001502,,,68,8.229999542,3653962.535,7598.939678
79,4003001501,04,003,001501,,,116,13.68000031,3379882.43,8482.410563
80,4005000400,04,005,000400,,,11,1.75,4077095.215,8457.005658
81,4005001000,04,005,001000,,,,,4234811.75,8893.695244
82,4019004718,04,019,004718,,,,,3834778.949,7975.379711
83,4019004505,04,019,004505,,,59,9.06000042,2684212.789,7595.432128
84,4021001406,04,021,001406,,,25,2.569999933,26316864.11,22619.5231
85,4021001403,04,021,001403,,,33,4.239999771,3729162.27,7742.002119
86,4021000208,04,021,000208,,,,,92259075,48877.30707
87,4019004029,04,019,004029,,,18,4.460000038,3600907.484,7610.828094
88,4019004030,04,019,004030,,,,,5596745.086,10935.89074
89,4019004031,04,019,004031,,,19,2.130000114,3214856.492,7308.211502
90,4019004032,04,019,004032,,,16,2.029999971,4724558.297,9410.811167
91,4019004413,04,019,004413,,,,,3882011.273,7769.052244
92,4019004414,04,019,004414,,,18,3.079999924,2610116.324,6935.351276
93,4019004615,04,019,004615,,,,,7494831.008,11922.68602
94,4019004616,04,019,004616,,,,,6126322.516,10584.29332
95,4019004617,04,019,004617,,,13,1.309999943,2803838.863,7036.683886
96,4019004618,04,019,004618,,,,,4863326.738,9022.740729
97,4019004322,04,019,004322,,,12,3.220000029,7565202.938,13481.27506
98,4019004634,04,019,004634,,,,,17741735.39,18762.40255
99,4019004636,04,019,004636,,,,,10714824.79,15268.12486
100,4019004717,04,019,004717,,,,,7302148.48,11514.16319
101,4017961300,04,017,961300,,,,,20535048.63,24128.19225
102,4019004506,04,019,004506,,,,,4894444.211,10764.82662
103,4019004508,04,019,004508,,,14,1.899999976,4314685.926,9343.270392
104,4017965201,04,017,965201,,,,,10954219.41,14757.58845
105,4017964801,04,017,964801,,,,,206425205.3,66911.56983
106,4019004624,04,019,004624,,,,,4482955.102,8613.752633
107,4019004625,04,019,004625,,,,,3119274.43,12632.57937
108,4019004626,04,019,004626,,,22,1.460000038,2369800.934,6127.418716
109,4019003004,04,019,003004,,,23,3.450000048,2628064.922,9916.696806
