"name","code","total_units","pct_occupied","latitude","longitude","state","pha_total_units","ha_size","ha_size_category"
"Alaska Housing Finance Corporation","AK901",4915,92,61.18208,-149.77879,"AK",4985,6,"3,000-4,999 units"
"Housing Authority of the Birmingham District","AL001",6258,89,33.508954,-86.805206,"AL",10946,8,"10,000-29,999 units"
"MOBILE HOUSING AUTHORITY","AL002",4647,77,30.687968,-88.044128,"AL",7300,7,"5,000-9,999 units"
"ANNISTON HA","AL004",528,71,33.6652,-85.8133,"AL",1109,5,"1,000-2,999 units"
"PHENIX CITY HOUSING AUTHORITY","AL005",966,70,32.474943,-84.997268,"AL",1711,5,"1,000-2,999 units"
"Housing Authority of the City of Montgomery","AL006",3092,99,32.371166,-86.30574,"AL",4413,6,"3,000-4,999 units"
"Housing Authority of the City of Dothan","AL007",1306,94,31.217425,-85.396166,"AL",1423,5,"1,000-2,999 units"
"Selma Housing Authority","AL008",1097,63,32.412199,-87.020965,"AL",1678,5,"1,000-2,999 units"
"Housing Authority of the City of Fort Payne","AL011",115,93,34.453837,-85.713343,"AL",398,3,"300-499 units"
"Housing Authority of the City of Jasper","AL012",297,62,33.828947,-87.286025,"AL",619,4,"500-999 units"
"The Guntersville Housing Authority","AL014",174,94,34.345579,-86.283468,"AL",522,4,"500-999 units"
"The Housing Authority of the City of Huntsville","AL047",2047,80,34.732726,-86.586033,"AL",3679,6,"3,000-4,999 units"
"Housing Authority of the City of Decatur","AL048",1059,61,34.613354,-86.981707,"AL",1661,5,"1,000-2,999 units"
"Greater Gadsden","AL049",194,56,34.012059,-86.004098,"AL",1164,5,"1,000-2,999 units"
"HA AUBURN","AL050",737,81,32.621798,-85.493904,"AL",737,4,"500-999 units"
"HA CULLMAN","AL052",187,77,34.17113,-86.852291,"AL",513,4,"500-999 units"
"Housing Authority of Hamilton, Alabama","AL053",76,97,34.142045,-87.978549,"AL",553,4,"500-999 units"
"FLORENCE H/A","AL054",691,81,34.797631,-87.678928,"AL",691,4,"500-999 units"
"HA RUSSELLVILLE","AL060",93,95,34.496545,-87.727863,"AL",302,3,"300-499 units"
"HA OPELIKA","AL061",531,70,32.633479,-85.378224,"AL",531,4,"500-999 units"
"H A ONEONTA","AL063",54,94,33.944894,-86.466976,"AL",220,2,"100-299 units"
"Sheffield Housing Authority","AL068",421,66,34.763241,-87.696543,"AL",824,4,"500-999 units"
"HA LEEDS","AL069",344,84,33.55224,-86.549779,"AL",344,3,"300-499 units"
"HA COLUMBIANA","AL072",247,86,33.17518,-86.605864,"AL",247,2,"100-299 units"
"HOUSING AUTHORITY OF THE CITY OF OZARK","AL073",438,67,31.456891,-85.645637,"AL",827,4,"500-999 units"
"BOAZ HOUSING AUTHORITY","AL075",373,85,34.20583,-86.170782,"AL",824,4,"500-999 units"
"HA TUSCALOOSA","AL077",1982,66,33.213424,-87.566163,"AL",2916,5,"1,000-2,999 units"
"Jefferson County Housing Authority","AL086",2303,90,33.612065,-86.753427,"AL",2863,5,"1,000-2,999 units"
"PHIL CAMPBELL HOUSING AUTHORITY","AL090",56,100,34.3705,-87.7057,"AL",118,2,"100-299 units"
"HA ARAB","AL091",72,93,34.314457,-86.506195,"AL",177,2,"100-299 units"
"HA SCOTTSBORO","AL099",179,99,34.662726,-86.045556,"AL",179,2,"100-299 units"
"Housing Authority of the City of Columbia","AL100",0,-4,31.296188,-85.10602,"AL",17,1,"1-99 units"
"Housing Authority of the City of Talladega, AL","AL105",534,96,33.452255,-86.098368,"AL",534,4,"500-999 units"
"HA ELBA","AL107",119,76,31.434456,-86.077557,"AL",244,2,"100-299 units"
"HA OPP","AL112",104,96,31.272255,-86.257562,"AL",274,2,"100-299 units"
"LINEVILLE HOUSING AUTHORITY","AL114",59,76,33.304526,-85.750005,"AL",250,2,"100-299 units"
"ENTERPRISE HOUSING AUTHORITY","AL115",195,75,31.306378,-85.847351,"AL",344,3,"300-499 units"
"YORK HOUSING AUTHORITY","AL116",104,64,32.490138,-88.303495,"AL",194,2,"100-299 units"
"EUFAULA HOUSING AUTHORITY","AL118",436,72,31.881747,-85.144377,"AL",813,4,"500-999 units"
"Albertville Housing Authority","AL121",401,92,34.259936,-86.211909,"AL",565,4,"500-999 units"
"HA MIDLAND CITY","AL124",96,68,31.31957,-85.488255,"AL",96,1,"1-99 units"
"HA BESSEMER","AL125",565,94,33.393023,-86.945544,"AL",1265,5,"1,000-2,999 units"
"WALKER COUNTY HOUSING AUTHORITY","AL129",405,-5,33.741443,-87.092694,"AL",405,3,"300-499 units"
"Housing Authority of the City of Prattville, AL","AL131",40,100,32.455009,-86.466165,"AL",146,2,"100-299 units"
"GORDO HOUSING AUTHORITY","AL138",150,99,33.320446,-87.90187,"AL",230,2,"100-299 units"
"HA JACKSONVILLE","AL139",219,79,33.806137,-85.754374,"AL",394,3,"300-499 units"
"HA NORTHPORT","AL152",424,95,33.220589,-87.588548,"AL",799,4,"500-999 units"
"HA ATMORE","AL154",100,78,31.028335,-87.478481,"AL",168,2,"100-299 units"
"Housing Authority of the City of GREENVILLE","AL155",181,74,31.832971,-86.613114,"AL",181,2,"100-299 units"
"TUSKEGEE HOUSING AUTHORITY","AL160",179,66,32.399049,-85.71991,"AL",186,2,"100-299 units"
"HA FOLEY","AL165",374,63,30.389608,-87.688123,"AL",374,3,"300-499 units"
"The Housing Authority of the City of Prichard","AL169",2609,95,30.73033,-88.083667,"AL",2753,5,"1,000-2,999 units"
"UNIONTOWN HOUSING AUTHORITY","AL171",53,75,32.447366,-87.506999,"AL",152,2,"100-299 units"
"HA TALLASSEE","AL172",72,-5,32.52527,-85.896979,"AL",170,2,"100-299 units"
"Housing Authority of the City of Alexander City","AL174",269,96,32.930786,-86.01673,"AL",746,4,"500-999 units"
"HA TROY","AL177",289,72,31.801865,-85.977625,"AL",289,2,"100-299 units"
"EVERGREEN HOUSING AUTHORITY","AL181",206,95,31.425734,-86.945851,"AL",296,2,"100-299 units"
"South Central Alabama Regional HA","AL192",1380,85,31.681163,-85.958379,"AL",1380,5,"1,000-2,999 units"
"MOBILE COUNTY HOUSING AUTHORITY","AL202",98,86,31.036043,-88.231943,"AL",148,2,"100-299 units"
"North Little Rock Housing Authority","AR002",2205,86,34.799406,-92.232516,"AR",2315,5,"1,000-2,999 units"
"The Housing Authority of the City of Fort Smi","AR003",1772,83,35.3987,-94.397012,"AR",1835,5,"1,000-2,999 units"
"Housing Authority of the City of Little Rock","AR004",3095,77,34.748915,-92.276521,"AR",3343,6,"3,000-4,999 units"
"Housing Authority of the City of Conway","AR006",372,91,35.074696,-92.450617,"AR",526,4,"500-999 units"
"NW Regional Housing Authority","AR010",712,82,36.2537,-93.0861,"AR",770,4,"500-999 units"
"Arkadelphia Housing Authority","AR012",198,60,34.11502,-93.05348,"AR",298,2,"100-299 units"
"Housing Authority of the City of Texarkana","AR015",1053,83,33.412588,-94.026113,"AR",1054,5,"1,000-2,999 units"
"Camden Housing Authority","AR016",531,67,33.59745,-92.832763,"AR",1050,5,"1,000-2,999 units"
"Housing Authority of the City of Pine Bluff","AR017",1091,85,34.211056,-91.977832,"AR",1091,5,"1,000-2,999 units"
"Little River County Housing Authority","AR020",53,77,33.72186,-94.392289,"AR",201,2,"100-299 units"
"West Memphis Housing Authority","AR024",528,82,35.142087,-90.149292,"AR",876,4,"500-999 units"
"Hot Springs Housing Authority","AR031",1044,84,34.508422,-93.035144,"AR",1044,5,"1,000-2,999 units"
"Logan County Housing Authority","AR033",167,77,35.135803,-93.921221,"AR",167,2,"100-299 units"
"Trumann Housing Authority","AR034",147,101,35.664793,-90.507826,"AR",508,4,"500-999 units"
"Searcy Housing Authority","AR035",170,79,35.244313,-91.743187,"AR",290,2,"100-299 units"
"Housing Authority of the City of Prescott","AR037",78,71,33.810981,-93.379847,"AR",181,2,"100-299 units"
"Wynne Housing Authority","AR039",236,60,35.222941,-90.799915,"AR",306,3,"300-499 units"
"Lonoke County Housing Authority","AR041",756,69,34.778049,-91.74939,"AR",877,4,"500-999 units"
"Star City Housing Authority","AR042",58,-5,33.944094,-91.840262,"AR",114,2,"100-299 units"
"Pike County Housing Authority","AR045",141,100,34.056076,-93.691443,"AR",141,2,"100-299 units"
"Clarendon Housing Authority","AR052",28,68,34.6798,-91.3274,"AR",116,2,"100-299 units"
"Russellville Housing Authority","AR066",179,66,35.278427,-93.1362,"AR",361,3,"300-499 units"
"Hope Housing Authority","AR068",183,50,33.661121,-93.598293,"AR",381,3,"300-499 units"
"Warren Housing Authority","AR082",70,60,33.609719,-92.076678,"AR",241,2,"100-299 units"
"Springdale Housing Authority","AR104",159,87,36.177305,-94.125231,"AR",356,3,"300-499 units"
"Polk County Housing Authority","AR117",129,-5,34.582518,-94.222761,"AR",309,3,"300-499 units"
"Paragould Housing Authority","AR121",720,72,36.070814,-90.477355,"AR",720,4,"500-999 units"
"Jonesboro Urban Renewal HA","AR131",1342,94,35.839846,-90.705549,"AR",1533,5,"1,000-2,999 units"
"Lake Village Housing Authority","AR152",233,-5,33.325902,-91.289056,"AR",233,2,"100-299 units"
"CONWAY COUNTY HOUSING AUTHORITY","AR161",236,94,35.2132,-92.8036,"AR",236,2,"100-299 units"
"Siloam Springs Housing Authority","AR163",503,63,36.178254,-94.553152,"AR",503,4,"500-999 units"
"Stuttgart Housing Authority","AR166",456,-5,34.509744,-91.54723,"AR",572,4,"500-999 units"
"Jacksonville Housing Authority","AR170",367,92,34.897173,-92.098736,"AR",467,3,"300-499 units"
"Housing Authority of the City of Benton, AR","AR175",807,63,34.559673,-92.60271,"AR",909,4,"500-999 units"
"Clay County Public Housing Agency","AR176",173,60,36.382149,-90.189111,"AR",173,2,"100-299 units"
"Lawrence County Public Housing Agency","AR177",379,83,36.067645,-90.955507,"AR",379,3,"300-499 units"
"Fayetteville Housing Authority","AR181",695,82,36.062763,-94.164527,"AR",695,4,"500-999 units"
"Crawford Co. Public Facilties Board","AR194",432,71,35.458838,-94.357509,"AR",432,3,"300-499 units"
"White River Regional Housing Authority","AR197",1815,96,36.078977,-91.914254,"AR",1815,5,"1,000-2,999 units"
"Harrison Housing Authority","AR200",551,77,36.241246,-93.114531,"AR",551,4,"500-999 units"
"Drew County Public Facilities Board","AR210",267,96,33.637407,-91.801275,"AR",267,2,"100-299 units"
"Pope County Public Facilities Board","AR211",211,64,35.276118,-93.13077,"AR",211,2,"100-299 units"
"Mississippi County Public Facilities Board","AR213",653,59,35.698501,-90.061107,"AR",653,4,"500-999 units"
"Ashley County Housing Authority","AR214",224,85,33.225145,-91.79693,"AR",224,2,"100-299 units"
"Johnson County Public Housing Agency","AR215",194,75,35.471025,-93.463364,"AR",194,2,"100-299 units"
