"fips","states","name","total_units","households_below_poverty","voucher_poverty","poverty_gap","total_units_flag"
"01001","AL Alabama","Autauga County",90,2396,14.4,0.993989983305509,NA
"01003","AL Alabama","Baldwin County",374,10315,48.62,0.995286476005817,NA
"01005","AL Alabama","Barbour County",352,2169,116.16,0.946445366528354,NA
"01009","AL Alabama","Blount County",50,3469,8.5,0.997549726145863,NA
"01011","AL Alabama","Bullock County",443,1000,155.05,0.84495,NA
"01013","AL Alabama","Butler County",182,1372,49.14,0.964183673469388,NA
"01015","AL Alabama","Calhoun County",717,8256,179.25,0.978288517441861,NA
"01017","AL Alabama","Chambers County",153,2511,26.01,0.989641577060932,NA
"01019","AL Alabama","Cherokee County",29,1574,3.77,0.997604828462516,NA
"01025","AL Alabama","Clarke County",3,1807,-0.12,1.00006640841173,NA
"01027","AL Alabama","Clay County",11,1055,-0.44,1.00041706161137,NA
"01029","AL Alabama","Cleburne County",15,875,4.8,0.994514285714286,NA
"01031","AL Alabama","Coffee County",318,3241,79.5,0.975470533785869,NA
"01033","AL Alabama","Colbert County",421,3607,79.99,0.977823676185196,NA
"01035","AL Alabama","Conecuh County",101,838,17.17,0.979510739856802,NA
"01037","AL Alabama","Coosa County",-4,461,0.16,-4,"Suppressed (<11 families)"
"01039","AL Alabama","Covington County",104,2865,21.84,0.992376963350785,NA
"01041","AL Alabama","Crenshaw County",134,920,22.78,0.975239130434783,NA
"01043","AL Alabama","Cullman County",194,4646,32.98,0.99290142057684,NA
"01045","AL Alabama","Dale County",554,3292,121.88,0.962976913730255,NA
"01047","AL Alabama","Dallas County",1098,3873,417.24,0.892269558481797,NA
"01049","AL Alabama","DeKalb County",235,5027,44.65,0.991117962999801,NA
"01051","AL Alabama","Elmore County",111,3083,17.76,0.994239377229971,NA
"01053","AL Alabama","Escambia County",139,3035,34.75,0.988550247116969,NA
"01055","AL Alabama","Etowah County",280,6430,64.4,0.989984447900467,NA
"01057","AL Alabama","Fayette County",44,1349,9.68,0.992824314306894,NA
"01059","AL Alabama","Franklin County",107,1987,20.33,0.989768495218923,NA
"01061","AL Alabama","Geneva County",75,1984,20.25,0.989793346774194,NA
"01067","AL Alabama","Henry County",84,1083,11.76,0.989141274238227,NA
"01069","AL Alabama","Houston County",1202,6981,420.7,0.939736427445925,NA
"01071","AL Alabama","Jackson County",179,3771,25.06,0.993354547865288,NA
"01073","AL Alabama","Jefferson County",9299,40807,2417.74,0.940751831793565,NA
"01075","AL Alabama","Lamar County",43,891,10.75,0.987934904601571,NA
"01077","AL Alabama","Lauderdale County",691,5652,145.11,0.974325902335456,NA
"01079","AL Alabama","Lawrence County",7,1985,-0.28,1.00014105793451,NA
"01081","AL Alabama","Lee County",1171,13460,269.33,0.979990341753343,NA
"01083","AL Alabama","Limestone County",265,4070,39.75,0.990233415233415,NA
"01085","AL Alabama","Lowndes County",349,1001,101.21,0.898891108891109,NA
"01087","AL Alabama","Macon County",294,1721,76.44,0.955583962812318,NA
"01089","AL Alabama","Madison County",2005,17630,501.25,0.971568349404424,NA
"01091","AL Alabama","Marengo County",22,1692,-1.1,1.00065011820331,NA
"01093","AL Alabama","Marion County",62,2064,9.3,0.995494186046512,NA
"01095","AL Alabama","Marshall County",817,5585,179.74,0.967817367949866,NA
"01097","AL Alabama","Mobile County",7337,27497,1907.62,0.930624431756192,NA
"01099","AL Alabama","Monroe County",64,1655,17.92,0.989172205438066,NA
"01101","AL Alabama","Montgomery County",3006,17101,871.74,0.949024033682241,NA
"01103","AL Alabama","Morgan County",817,6677,187.91,0.971857121461734,NA
"01105","AL Alabama","Perry County",53,796,17.49,0.978027638190955,NA
"01107","AL Alabama","Pickens County",87,1515,17.4,0.988514851485149,NA
"01109","AL Alabama","Pike County",611,2753,146.64,0.946734471485652,NA
"01111","AL Alabama","Randolph County",33,1864,6.6,0.996459227467811,NA
"01113","AL Alabama","Russell County",907,5006,281.17,0.943833399920096,NA
"01115","AL Alabama","St. Clair County",137,3472,19.18,0.994475806451613,NA
"01117","AL Alabama","Shelby County",249,6666,29.88,0.995517551755176,NA
"01119","AL Alabama","Sumter County",104,1313,32.24,0.975445544554455,NA
"01121","AL Alabama","Talladega County",535,6319,224.7,0.964440576040513,NA
"01123","AL Alabama","Tallapoosa County",271,2986,54.2,0.981848626925653,NA
"01125","AL Alabama","Tuscaloosa County",2403,15015,648.81,0.956789210789211,NA
"01127","AL Alabama","Walker County",660,4333,-33,1.00761597045927,NA
"01133","AL Alabama","Winston County",48,1626,9.6,0.99409594095941,NA
"01XXX","AL Alabama","Missing, Alabama",75,NA,-0.75,75,"Not applicable"
"02020","AK Alaska","Anchorage Municipality",2676,9292,428.16,0.953921653034869,NA
"02090","AK Alaska","Fairbanks North Star Borough",446,2670,57.98,0.978284644194757,NA
"02110","AK Alaska","Juneau City and Borough",340,785,34,0.956687898089172,NA
"02122","AK Alaska","Kenai Peninsula Borough",557,2672,61.27,0.977069610778443,NA
"02130","AK Alaska","Ketchikan Gateway Borough",107,460,11.77,0.974413043478261,NA
"02150","AK Alaska","Kodiak Island Borough",109,506,9.81,0.980612648221344,NA
"02170","AK Alaska","Matanuska-Susitna Borough",516,4148,56.76,0.986316297010608,NA
"02195","AK Alaska","Petersburg Borough",33,64,1.98,0.9690625,NA
"02220","AK Alaska","Sitka City and Borough",40,207,3.6,0.982608695652174,NA
"02261","AK Alaska","Valdez-Cordova Census Area",59,NA,4.72,59,"Not applicable"
"02275","AK Alaska","Wrangell City and Borough",33,46,2.64,0.942608695652174,NA
"02XXX","AK Alaska","Missing, Alaska",7,NA,-0.28,7,"Not applicable"
"04001","AZ Arizona","Apache County",16,6461,5.6,0.999133261105092,NA
"04003","AZ Arizona","Cochise County",738,7316,169.74,0.976798797156916,NA
"04005","AZ Arizona","Coconino County",544,9062,81.6,0.990995365261532,NA
"04007","AZ Arizona","Gila County",58,3742,10.44,0.997210048102619,NA
"04009","AZ Arizona","Graham County",41,1941,6.15,0.996831530139104,NA
"04013","AZ Arizona","Maricopa County",14459,173957,3325.57,0.980882804371195,NA
"04015","AZ Arizona","Mohave County",555,13943,-27.75,1.00199024600158,NA
"04017","AZ Arizona","Navajo County",119,8992,23.8,0.997353202846975,NA
"04019","AZ Arizona","Pima County",5660,59476,1528.2,0.974305602259735,NA
"04021","AZ Arizona","Pinal County",820,15953,164,0.989719801918134,NA
"04023","AZ Arizona","Santa Cruz County",195,3288,56.55,0.982801094890511,NA
"04025","AZ Arizona","Yavapai County",197,12172,27.58,0.997734143936904,NA
"04027","AZ Arizona","Yuma County",1848,12884,517.44,0.959838559453586,NA
"04XXX","AZ Arizona","Missing, Arizona",473,NA,-4.73,473,"Not applicable"
"05001","AR Arkansas","Arkansas County",453,1168,-22.65,1.01939212328767,NA
"05003","AR Arkansas","Ashley County",224,1663,40.32,0.975754660252556,NA
"05005","AR Arkansas","Baxter County",380,2425,45.6,0.98119587628866,NA
"05007","AR Arkansas","Benton County",555,8043,72.15,0.991029466616934,NA
"05009","AR Arkansas","Boone County",636,2162,133.56,0.938223866790009,NA
"05011","AR Arkansas","Bradley County",70,793,15.4,0.980580075662043,NA
"05013","AR Arkansas","Calhoun County",20,208,2.4,0.988461538461539,NA
"05015","AR Arkansas","Carroll County",122,1825,19.52,0.989304109589041,NA
"05017","AR Arkansas","Chicot County",233,1141,-11.65,1.01021034180543,NA
"05019","AR Arkansas","Clark County",218,1693,47.96,0.971671588895452,NA
"05021","AR Arkansas","Clay County",173,1311,43.25,0.967009916094584,NA
"05023","AR Arkansas","Cleburne County",126,1487,15.12,0.989831876260928,NA
"05027","AR Arkansas","Columbia County",101,1629,30.3,0.981399631675875,NA
"05029","AR Arkansas","Conway County",186,1692,39.06,0.976914893617021,NA
"05031","AR Arkansas","Craighead County",1326,7406,318.24,0.957029435592763,NA
"05033","AR Arkansas","Crawford County",432,3449,86.4,0.974949260655262,NA
"05035","AR Arkansas","Crittenden County",569,3556,221.91,0.937595613048369,NA
"05037","AR Arkansas","Cross County",237,1495,37.92,0.974635451505017,NA
"05039","AR Arkansas","Dallas County",33,354,4.95,0.986016949152542,NA
"05041","AR Arkansas","Desha County",344,1087,99.76,0.908224471021159,NA
"05043","AR Arkansas","Drew County",270,1328,56.7,0.95730421686747,NA
"05045","AR Arkansas","Faulkner County",373,8274,93.25,0.988729755861736,NA
"05047","AR Arkansas","Franklin County",109,1403,29.43,0.979023521026372,NA
"05049","AR Arkansas","Fulton County",74,907,16.28,0.982050716648291,NA
"05051","AR Arkansas","Garland County",1028,7219,308.4,0.957279401579166,NA
"05053","AR Arkansas","Grant County",40,893,5.6,0.993729003359462,NA
"05055","AR Arkansas","Greene County",720,3122,187.2,0.940038436899423,NA
"05057","AR Arkansas","Hempstead County",183,1666,49.41,0.970342136854742,NA
"05059","AR Arkansas","Hot Spring County",49,2301,12.25,0.994676227727075,NA
"05061","AR Arkansas","Howard County",59,896,12.98,0.985513392857143,NA
"05063","AR Arkansas","Independence County",259,2803,51.8,0.981519800214056,NA
"05065","AR Arkansas","Izard County",159,946,25.44,0.973107822410148,NA
"05067","AR Arkansas","Jackson County",275,1325,68.75,0.94811320754717,NA
"05069","AR Arkansas","Jefferson County",1094,4836,317.26,0.934396195202647,NA
"05071","AR Arkansas","Johnson County",194,2140,44.62,0.97914953271028,NA
"05073","AR Arkansas","Lafayette County",21,566,5.46,0.990353356890459,NA
"05075","AR Arkansas","Lawrence County",379,1134,64.43,0.943183421516755,NA
"05077","AR Arkansas","Lee County",294,773,85.26,0.889702457956016,NA
"05079","AR Arkansas","Lincoln County",58,620,-2.9,1.00467741935484,NA
"05081","AR Arkansas","Little River County",53,595,10.07,0.983075630252101,NA
"05083","AR Arkansas","Logan County",177,1225,47.79,0.960987755102041,NA
"05085","AR Arkansas","Lonoke County",728,3125,101.92,0.9673856,NA
"05087","AR Arkansas","Madison County",11,886,-0.44,1.00049661399549,NA
"05089","AR Arkansas","Marion County",32,1232,6.4,0.994805194805195,NA
"05091","AR Arkansas","Miller County",843,3324,303.48,0.90870036101083,NA
"05093","AR Arkansas","Mississippi County",628,3074,182.12,0.940754716981132,NA
"05095","AR Arkansas","Monroe County",32,711,8.32,0.988298171589311,NA
"05097","AR Arkansas","Montgomery County",26,697,3.9,0.994404591104735,NA
"05099","AR Arkansas","Nevada County",78,833,14.04,0.983145258103241,NA
"05101","AR Arkansas","Newton County",36,329,4.32,0.986869300911854,NA
"05103","AR Arkansas","Ouachita County",68,1599,22.44,0.985966228893058,NA
"05105","AR Arkansas","Perry County",46,631,8.74,0.986148969889065,NA
"05107","AR Arkansas","Phillips County",407,1689,179.08,0.893972764949674,NA
"05109","AR Arkansas","Pike County",81,835,13.77,0.983508982035928,NA
"05111","AR Arkansas","Poinsett County",261,1876,67.86,0.963827292110874,NA
"05113","AR Arkansas","Polk County",129,1307,-6.45,1.00493496557001,NA
"05115","AR Arkansas","Pope County",386,3927,84.92,0.978375350140056,NA
