"state_name","total_units","households_below_poverty","voucher_poverty","poverty_gap","total_units_flag"
"Alabama",40227,308175,10459.02,0.966061426137746,NA
"Alaska",4922,25818,689.08,0.973310093733054,NA
"Arizona",25721,331560,6173.04,0.981381831342743,NA
"Arkansas",28005,188952,7001.25,0.962946938905119,NA
"California",360999,1567231,68589.81,0.956235034911892,NA
"Colorado",37488,217763,5623.2,0.974177431427745,NA
"Connecticut",45465,147678,9547.65,0.935348189980904,NA
"Delaware",5771,41099,1269.62,0.969108250809022,NA
"District of Columbia",16575,42817,3812.25,0.910964103043184,NA
"Florida",124133,1057327,28550.59,0.972997388698104,NA
"Georgia",69957,519760,18188.82,0.965005348622441,NA
"Hawaii",13907,47392,2086.05,0.955983077312627,NA
"Idaho",7922,73469,1425.96,0.980590997563598,NA
"Illinois",114836,597565,26412.28,0.955800155631605,NA
"Indiana",44975,325276,10794,0.966815873289145,NA
"Iowa",23979,144551,3836.64,0.973458225816494,NA
"Kansas",14245,134678,2564.1,0.980961255735903,NA
"Kentucky",38870,286390,9717.5,0.966068996822515,NA
"Louisiana",59170,325874,17751,0.945528026169624,NA
"Maine",14542,67425,2472.14,0.963334964775677,NA
"Maryland",57822,217400,8673.3,0.960104415823367,NA
"Massachusetts",98443,296771,17719.74,0.94029153791981,NA
"Michigan",65248,516677,16964.48,0.96716617925706,NA
"Minnesota",38235,211711,6499.95,0.969298005299677,NA
"Mississippi",28463,214640,7969.64,0.962869735370854,NA
"Missouri",47435,318532,10435.7,0.967238142478621,NA
"Montana",7516,54383,1352.88,0.975123108324292,NA
"Nebraska",14101,84442,2679.19,0.968271831553019,NA
"Nevada",16796,145105,3359.2,0.976849867337445,NA
"New Hampshire",11584,41946,1505.92,0.964098602965718,NA
"New Jersey",87111,342340,16551.09,0.951653064205176,NA
"New Mexico",15608,143688,3745.92,0.973930182061132,NA
"New York",278199,1034018,69549.75,0.932738356585669,NA
"North Carolina",71603,538305,16468.69,0.969406396002266,NA
"North Dakota",9863,35901,1282.19,0.964285395949974,NA
"Ohio",104555,633707,27184.3,0.957102730441671,NA
"Oklahoma",27899,224836,6974.75,0.96897849988436,NA
"Oregon",41596,195090,7487.28,0.961621405505152,NA
"Pennsylvania",96205,617593,22127.15,0.964171954669175,NA
"Rhode Island",11396,52438,2279.2,0.956535336969373,NA
"South Carolina",29848,287298,6865.04,0.976104811032447,NA
"South Dakota",6969,38201,1045.35,0.972635533101228,NA
"Tennessee",40507,376511,10126.75,0.973103707461402,NA
"Texas",179375,1401789,39462.5,0.971848473629055,NA
"Utah",13620,92225,2179.2,0.976370832203849,NA
"Vermont",9328,28285,1492.48,0.947234223086442,NA
"Virginia",59321,331947,10677.78,0.967832876935173,NA
"Washington",65630,285745,10500.8,0.963251150501321,NA
"West Virginia",16130,121734,3548.6,0.97084955723134,NA
"Wisconsin",34222,256541,6502.18,0.97465442171037,NA
"Wyoming",2704,25666,378.56,0.985250525987688,NA
"Guam",2621,NA,0,NA,"Not applicable"
"Northern Mariana Islands",368,NA,-3.68,NA,"Not applicable"
"Puerto Rico",33904,534360,16273.92,0.969545025825286,NA
"U.S. Virgin Islands",2152,NA,0,NA,"Not applicable"
