"States","geoid","poc_hh","poc_under30","poc_under50","poc_under80","gap_under30","gap_under50","gap_under80"
"AL Alabama","0400000US01",34595.22,85040,138575,196840,0.593188852304798,0.75035020746888,0.824247002641739
"AK Alaska","0400000US02",1132.06,2365,4315,7425,0.521327695560254,0.737645422943221,0.847534006734007
"AZ Arizona","0400000US04",16204.23,68570,131200,217825,0.763683389237276,0.876492149390244,0.92560895214048
"AR Arkansas","0400000US05",16242.9,36600,61850,89435,0.556204918032787,0.737382376717866,0.818383183317493
"CA California","0400000US06",212989.41,711935,1268455,1893670,0.70083025838033,0.832087531682243,0.887525593160371
"CO Colorado","0400000US08",19118.88,57715,103935,154980,0.668736377025037,0.816049646413624,0.876636469221835
"CT Connecticut","0400000US09",35917.35,77800,118950,157540,0.538337403598972,0.698046658259773,0.772011235241843
"DE Delaware","0400000US10",4963.06,14245,25375,35935,0.65159283959284,0.804411428571429,0.86188785306804
"DC District of Columbia","0400000US11",16077.75,42090,60420,70850,0.618014967925873,0.733900198609732,0.773073394495413
"FL Florida","0400000US12",105513.05,342310,608720,947565,0.691761707224446,0.826664065580234,0.888648219383367
"GA Georgia","0400000US13",65759.58,193830,338025,509565,0.660735799411856,0.80545941868205,0.870949574637191
"HI Hawaii","0400000US15",2503.26,6215,12250,18385,0.597222847948512,0.795652244897959,0.863842262714169
"ID Idaho","0400000US16",1188.3,5240,10275,18285,0.773225190839695,0.884350364963504,0.935012305168171
"IL Illinois","0400000US17",97610.6,228370,370340,509770,0.572576958444629,0.736429767240914,0.80852031308237
"IN Indiana","0400000US18",25635.75,66190,108105,158740,0.612694515787883,0.762862494796725,0.838504787703162
"IA Iowa","0400000US19",7433.49,16590,28155,40625,0.551929475587703,0.735979754928077,0.817021784615385
"KS Kansas","0400000US20",6552.7,22145,37065,56520,0.704100248363062,0.823210576015109,0.884064048124558
"KY Kentucky","0400000US21",17102.8,34090,56165,80805,0.498304488119683,0.695490073889433,0.788344780644762
"LA Louisiana","0400000US22",54436.4,100440,161615,220675,0.458020708880924,0.663172354051295,0.753318681318681
"ME Maine","0400000US23",1308.78,1755,3205,5190,0.25425641025641,0.591644305772231,0.747826589595376
"MD Maryland","0400000US24",46835.82,114925,194135,266485,0.592466217098107,0.758746130270173,0.824245942548361
"MA Massachusetts","0400000US25",55128.08,112920,168625,223210,0.511795253276656,0.673072913269088,0.753021459612025
"MI Michigan","0400000US26",43716.16,118805,183970,260685,0.632034341988974,0.762373430450617,0.832302740855822
"MN Minnesota","0400000US27",20646.9,43120,72965,100920,0.521175788497217,0.717030082916467,0.795413198573127
"MS Mississippi","0400000US28",25332.07,60920,101335,141360,0.584174819435325,0.750016578674693,0.82079746745897
"MO Missouri","0400000US29",29409.7,66505,107295,154360,0.557782121644989,0.72589869052612,0.809473309147448
"MT Montana","0400000US30",526.12,1575,2895,4995,0.665955555555556,0.81826597582038,0.894670670670671
"NE Nebraska","0400000US31",6204.44,13975,25560,38805,0.556032915921288,0.757259780907668,0.84011235665507
"NV Nevada","0400000US32",11085.36,42460,78310,127695,0.738922279792746,0.858442599923381,0.913188770116293
"NH New Hampshire","0400000US33",1505.92,2825,5535,8460,0.466930973451327,0.727927732610659,0.821995271867612
"NJ New Jersey","0400000US34",64462.14,197560,321035,444335,0.673708544239725,0.799205257993677,0.854924460148311
"NM New Mexico","0400000US35",10301.28,32510,54840,81240,0.683135035373731,0.812157549234136,0.87319940915805
"NY New York","0400000US36",191957.31,585540,876505,1168420,0.672170458038734,0.780996902470608,0.835712064155013
"NC North Carolina","0400000US37",55134.31,154080,271435,412030,0.642170885254413,0.796878405511448,0.866188602771643
"ND North Dakota","0400000US38",1479.45,3465,6910,11015,0.573030303030303,0.785897250361794,0.865687698592828
"OH Ohio","0400000US39",64824.1,161785,249300,346545,0.599319467194116,0.739975531488167,0.812941753596214
"OK Oklahoma","0400000US40",16460.41,33000,55720,82630,0.501199696969697,0.70458704235463,0.800793779498971
"OR Oregon","0400000US41",9567.08,22320,42035,69225,0.571367383512545,0.772402045914119,0.861797327555074
"PA Pennsylvania","0400000US42",57723,159885,252495,345715,0.638971760953185,0.771389532465989,0.833032989601261
"RI Rhode Island","0400000US44",5811.96,17725,25890,36535,0.672103808180536,0.775513325608343,0.840920760914192
"SC South Carolina","0400000US45",25967.76,77300,128710,189605,0.664065200517464,0.798245979333385,0.863042852245458
"SD South Dakota","0400000US46",836.28,2365,4575,7010,0.646393234672304,0.817206557377049,0.880701854493581
"TN Tennessee","0400000US47",29165.04,82960,136800,208015,0.648444551591128,0.786805263157895,0.859793572578901
"TX Texas","0400000US48",154262.5,519100,941870,1448710,0.702827008283568,0.836216781509125,0.893517336112818
"UT Utah","0400000US49",3268.8,12970,25295,42345,0.747972243639167,0.870772880015813,0.922805526036132
"VT Vermont","0400000US50",746.24,915,1280,2520,0.184437158469945,0.417,0.703873015873016
"VA Virginia","0400000US51",45083.96,114720,195630,278975,0.607008716875872,0.769544752849767,0.838394264719061
"WA Washington","0400000US53",21001.6,48425,91985,144725,0.56630665978317,0.771684513779421,0.85488616341337
"WV West Virginia","0400000US54",2580.8,5090,7770,11040,0.492966601178782,0.667850707850708,0.766231884057971
"WI Wisconsin","0400000US55",16768.78,51145,87140,122605,0.672132564278033,0.807565067707138,0.863229232086783
"WY Wyoming","0400000US56",486.72,2470,4095,5910,0.802947368421053,0.881142857142857,0.917644670050761
"PR Puerto Rico","0400000US72",33904,119730,169630,235755,0.716829533116178,0.800129694039969,0.856189688447753
