"states","name.x","code","poc_hh","poc_under30","poc_under50","poc_under80","pct_flag","gap_under30","gap_under50","gap_under80"
"AL Alabama","AL Alabama Autauga County 020100","01001020100",NA,0,4,4,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Autauga County 020200","01001020200",NA,15,45,59,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Autauga County 020300","01001020300",NA,15,39,119,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Autauga County 020400","01001020400",NA,0,0,0,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Autauga County 020500","01001020500",65.32,NA,NA,NA,NA,NA,NA,NA
"AL Alabama","AL Alabama Autauga County 020600","01001020600",NA,0,0,0,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Autauga County 020700","01001020700",NA,15,19,19,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Autauga County 020802","01001020802",NA,NA,NA,NA,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Autauga County 021100","01001021100",NA,84,99,144,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Autauga County 999999","01001999999",NA,NA,NA,NA,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 010200","01003010200",NA,25,25,25,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 010300","01003010300",NA,70,125,125,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 010400","01003010400",14,0,0,0,NA,NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 010500","01003010500",NA,40,50,85,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 010600","01003010600",16.74,310,379,379,NA,0.946,0.955831134564644,0.955831134564644
"AL Alabama","AL Alabama Baldwin County 010703","01003010703",11.48,NA,NA,NA,NA,NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 010705","01003010705",13.65,NA,NA,NA,NA,NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 010800","01003010800",NA,35,85,120,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 010903","01003010903",NA,15,15,230,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 010904","01003010904",NA,0,35,35,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 010905","01003010905",10.22,NA,NA,NA,NA,NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 010906","01003010906",NA,40,85,115,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 011000","01003011000",NA,90,100,134,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 011101","01003011101",NA,NA,NA,NA,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 011102","01003011102",NA,35,35,35,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 011201","01003011201",NA,0,0,25,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 011202","01003011202",NA,25,25,25,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 011401","01003011401",18.75,NA,NA,NA,NA,NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 011403","01003011403",NA,NA,NA,NA,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 011407","01003011407",NA,NA,NA,NA,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 011501","01003011501",33.15,0,105,105,NA,NA,0.684285714285714,0.684285714285714
"AL Alabama","AL Alabama Baldwin County 011502","01003011502",82.11,NA,NA,NA,NA,NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 011601","01003011601",NA,0,15,15,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Baldwin County 999999","01003999999",NA,NA,NA,NA,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Barbour County 950100","01005950100",NA,10,14,24,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Barbour County 950200","01005950200",17.48,100,135,180,NA,0.8252,0.870518518518518,0.902888888888889
"AL Alabama","AL Alabama Barbour County 950300","01005950300",NA,44,63,108,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Barbour County 950400","01005950400",NA,140,214,248,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Barbour County 950500","01005950500",NA,0,0,0,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Barbour County 950600","01005950600",57.27,85,135,169,NA,0.326235294117647,0.575777777777778,0.66112426035503
"AL Alabama","AL Alabama Barbour County 950700","01005950700",NA,35,65,100,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Barbour County 950800","01005950800",52,129,169,269,NA,0.596899224806202,0.692307692307692,0.806691449814126
"AL Alabama","AL Alabama Barbour County 950900","01005950900",83.93,260,445,655,NA,0.677192307692308,0.811393258426966,0.871862595419847
"AL Alabama","AL Alabama Barbour County 999999","01005999999",26.52,NA,NA,NA,NA,NA,NA,NA
"AL Alabama","AL Alabama Blount County 050101","01009050101",NA,NA,NA,NA,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Blount County 050102","01009050102",3.19,NA,NA,NA,NA,NA,NA,NA
"AL Alabama","AL Alabama Blount County 050200","01009050200",NA,0,10,14,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Blount County 050300","01009050300",0.99,NA,NA,NA,NA,NA,NA,NA
"AL Alabama","AL Alabama Blount County 050602","01009050602",NA,NA,NA,NA,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Bullock County 952100","01011952100",37,35,60,85,NA,-0.0571428571428572,0.383333333333333,0.564705882352941
"AL Alabama","AL Alabama Bullock County 952200","01011952200",356.72,NA,NA,NA,NA,NA,NA,NA
"AL Alabama","AL Alabama Bullock County 952500","01011952500",34.56,100,100,150,NA,0.6544,0.6544,0.7696
"AL Alabama","AL Alabama Bullock County 999999","01011999999",NA,NA,NA,NA,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Butler County 952700","01013952700",24.48,120,165,200,NA,0.796,0.851636363636364,0.8776
"AL Alabama","AL Alabama Butler County 952800","01013952800",NA,4,4,19,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Butler County 952900","01013952900",44.82,4,159,169,NA,-10.205,0.71811320754717,0.734792899408284
"AL Alabama","AL Alabama Butler County 953000","01013953000",NA,10,50,75,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Butler County 953100","01013953100",46.06,125,270,284,NA,0.63152,0.829407407407407,0.837816901408451
"AL Alabama","AL Alabama Butler County 953200","01013953200",17.28,45,80,130,NA,0.616,0.784,0.867076923076923
"AL Alabama","AL Alabama Butler County 953400","01013953400",NA,70,135,180,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Butler County 953500","01013953500",NA,4,8,12,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Calhoun County 000200","01015000200",58.59,30,60,130,NA,-0.953,0.0235,0.549307692307692
"AL Alabama","AL Alabama Calhoun County 000300","01015000300",36.27,125,215,335,NA,0.70984,0.831302325581395,0.891731343283582
"AL Alabama","AL Alabama Calhoun County 000400","01015000400",80.04,205,215,225,NA,0.609560975609756,0.627720930232558,0.644266666666667
"AL Alabama","AL Alabama Calhoun County 000500","01015000500",12.3,30,65,69,NA,0.59,0.810769230769231,0.821739130434783
"AL Alabama","AL Alabama Calhoun County 000600","01015000600",NA,210,225,229,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Calhoun County 000700","01015000700",142.87,135,205,245,NA,-0.0582962962962963,0.303073170731707,0.416857142857143
"AL Alabama","AL Alabama Calhoun County 000800","01015000800",NA,105,120,150,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Calhoun County 000900","01015000900",43,34,34,54,NA,-0.264705882352941,-0.264705882352941,0.203703703703704
"AL Alabama","AL Alabama Calhoun County 001000","01015001000",NA,0,80,180,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Calhoun County 001100","01015001100",24,NA,NA,NA,NA,NA,NA,NA
"AL Alabama","AL Alabama Calhoun County 001201","01015001201",17.2,50,93,143,NA,0.656,0.81505376344086,0.87972027972028
"AL Alabama","AL Alabama Calhoun County 001202","01015001202",NA,45,55,55,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Calhoun County 001300","01015001300",NA,0,30,30,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Calhoun County 001400","01015001400",NA,85,85,85,"Suppressed (<11 families)",NA,NA,NA
"AL Alabama","AL Alabama Calhoun County 001500","01015001500",NA,NA,NA,NA,"Suppressed (<11 families)",NA,NA,NA
