"fips","name.x","total_units","total_units_flag","under_30","under_50","under_80","vg_30","vg_50","vg_80"
"01001","Autauga County",90,NA,730,1535,2640,0.876712328767123,0.941368078175896,0.965909090909091
"01003","Baldwin County",374,NA,4215,7535,12495,0.911269276393832,0.95036496350365,0.970068027210884
"01005","Barbour County",352,NA,1000,1670,2345,0.648,0.789221556886228,0.849893390191898
"01009","Blount County",50,NA,1620,2335,3680,0.969135802469136,0.978586723768737,0.986413043478261
"01011","Bullock County",443,NA,390,685,930,-0.135897435897436,0.353284671532847,0.523655913978495
"01013","Butler County",182,NA,455,1085,1390,0.6,0.832258064516129,0.869064748201439
"01015","Calhoun County",717,NA,3560,5540,8405,0.798595505617978,0.87057761732852,0.914693634741225
"01017","Chambers County",153,NA,700,1250,1910,0.781428571428571,0.8776,0.919895287958115
"01019","Cherokee County",29,NA,360,840,1290,0.919444444444444,0.96547619047619,0.977519379844961
"01025","Clarke County",3,NA,775,1130,1630,0.996129032258064,0.997345132743363,0.998159509202454
"01027","Clay County",11,NA,315,530,870,0.965079365079365,0.979245283018868,0.987356321839081
"01029","Cleburne County",15,NA,285,525,810,0.947368421052632,0.971428571428571,0.981481481481482
"01031","Coffee County",318,NA,1690,2575,3810,0.811834319526627,0.876504854368932,0.916535433070866
"01033","Colbert County",421,NA,1760,3025,4460,0.760795454545454,0.860826446280992,0.905605381165919
"01035","Conecuh County",101,NA,420,535,860,0.759523809523809,0.811214953271028,0.882558139534884
"01037","Coosa County",-4,"Suppressed (<11 families)",130,295,515,-4,-4,-4
"01039","Covington County",104,NA,1235,1890,2555,0.91578947368421,0.944973544973545,0.959295499021526
"01041","Crenshaw County",134,NA,345,545,660,0.611594202898551,0.754128440366972,0.796969696969697
"01043","Cullman County",194,NA,1475,2830,4585,0.868474576271186,0.931448763250883,0.957688113413304
"01045","Dale County",554,NA,1465,2930,4470,0.621843003412969,0.810921501706485,0.876062639821029
"01047","Dallas County",1098,NA,1885,3105,3925,0.417506631299735,0.646376811594203,0.720254777070064
"01049","DeKalb County",235,NA,1625,3120,4710,0.855384615384615,0.924679487179487,0.950106157112527
"01051","Elmore County",111,NA,805,2640,4120,0.862111801242236,0.957954545454546,0.973058252427184
"01053","Escambia County",139,NA,1570,2090,2975,0.911464968152866,0.933492822966507,0.95327731092437
"01055","Etowah County",280,NA,2560,4175,6630,0.890625,0.932934131736527,0.957767722473605
"01057","Fayette County",44,NA,465,725,1095,0.905376344086022,0.939310344827586,0.959817351598173
"01059","Franklin County",107,NA,535,1280,1955,0.8,0.91640625,0.945268542199489
