"state_name","total_units","total_units_flag","under_30","under_50","under_80","vg_30","vg_50","vg_80"
"Alabama",40227,NA,153725,258635,380850,0.738318425760286,0.844464206313917,0.894375738479716
"Alaska",4922,NA,17985,31635,52075,0.726327495134835,0.844412833886518,0.905482477196351
"Arizona",25721,NA,162225,301545,507335,0.8414486053321,0.91470261486677,0.94930174342397
"Arkansas",28005,NA,89965,161925,247195,0.68871227699661,0.827049559981473,0.886708873561358
"California",360999,NA,1400100,2365310,3546020,0.742161988429398,0.847377722159041,0.898196005662687
"Colorado",37488,NA,165530,296250,459290,0.773527457258503,0.873458227848101,0.918378366609332
"Connecticut",45465,NA,146855,233240,322265,0.690408906744748,0.805072028811525,0.85892045366391
"Delaware",5771,NA,25280,44305,67625,0.771716772151899,0.869743821239138,0.914661737523105
"District of Columbia",16575,NA,52295,76380,91470,0.683048092551869,0.78299293008641,0.818793046900623
"Florida",124133,NA,558180,1009185,1620305,0.777611164857214,0.876996784534055,0.923389115012297
"Georgia",69957,NA,304130,536825,833105,0.769976654720021,0.869683788944256,0.916028591834163
"Hawaii",13907,NA,40855,70805,111935,0.659601028025945,0.803587317279853,0.875758252557288
"Idaho",7922,NA,32360,64920,110790,0.755191594561187,0.877972889710413,0.928495351566026
"Illinois",114836,NA,438500,725805,1049460,0.738116305587229,0.8417811946735,0.890576105806796
"Indiana",44975,NA,192340,340785,523440,0.766169283560362,0.868025294540546,0.914078022313923
"Iowa",23979,NA,94215,164705,248605,0.745486387517911,0.854412434352327,0.903545785482995
"Kansas",14245,NA,81530,149015,237390,0.825279038390776,0.904405596752005,0.939993260036227
"Kentucky",38870,NA,145425,243520,361380,0.732714457624205,0.840382720105125,0.892440090763186
"Louisiana",59170,NA,157615,261750,370545,0.624591568061415,0.773944603629417,0.840316290868855
"Maine",14542,NA,38890,67515,102545,0.626073540755978,0.78461082722358,0.858189087717587
"Maryland",57822,NA,192835,323865,452750,0.700147794746804,0.821462646473067,0.872287134180011
"Massachusetts",98443,NA,314235,480620,664840,0.68672172100498,0.79517498231451,0.851929787618074
"Michigan",65248,NA,290820,487115,723320,0.775641290145107,0.866052164273324,0.909793728916662
"Minnesota",38235,NA,162230,279510,419310,0.764316094433829,0.863207040892991,0.908814480932961
"Mississippi",28463,NA,88585,152750,221545,0.678692780944855,0.813662847790507,0.871524972353247
"Missouri",47435,NA,190745,337925,517930,0.751317203596425,0.859628615817119,0.908414264475894
"Montana",7516,NA,30100,54815,86415,0.750299003322259,0.862884247012679,0.913024359196899
"Nebraska",14101,NA,57155,106510,168650,0.753284926953023,0.867608675241761,0.916388971242218
"Nevada",16796,NA,91390,165570,270595,0.816216216216216,0.898556501781724,0.93792937785251
"New Hampshire",11584,NA,34540,62355,94900,0.664620729588882,0.814225002004651,0.877934668071654
"New Jersey",87111,NA,331095,540410,762285,0.736900285416572,0.838805721581762,0.885723843444381
"New Mexico",15608,NA,58970,102475,153345,0.735323045616415,0.847689680409856,0.898216440053474
"New York",278199,NA,1054475,1615060,2233470,0.736172977073899,0.827746956769408,0.875440905855015
"North Carolina",71603,NA,299125,539100,845310,0.760625156707062,0.867180485995177,0.91529379754173
"North Dakota",9863,NA,27840,49000,77060,0.645725574712644,0.798714285714286,0.872008824292759
"Ohio",104555,NA,419295,706410,1049555,0.750640956844227,0.851991053354284,0.900381590293029
"Oklahoma",27899,NA,115380,206010,320000,0.758198994626452,0.864574535216737,0.912815625
"Oregon",41596,NA,128785,229310,365255,0.677012074387545,0.81860363699795,0.886117917619198
"Pennsylvania",96205,NA,411810,697235,1027035,0.766384983366115,0.862019261798389,0.906327437721207
"Rhode Island",11396,NA,47475,74505,106270,0.759957872564508,0.847043822562244,0.892763715065399
"South Carolina",29848,NA,135495,232780,359465,0.779711428465995,0.871775925766819,0.916965490381539
"South Dakota",6969,NA,25000,45950,72200,0.72124,0.848335146898803,0.903476454293629
"Tennessee",40507,NA,199775,345465,543945,0.797236891502941,0.882746443199745,0.925531073913723
"Texas",179375,NA,808565,1462175,2303490,0.778156363433985,0.877323165831723,0.922129030297505
"Utah",13620,NA,58185,113430,192380,0.765919051301882,0.879925945517059,0.92920261981495
"Vermont",9328,NA,19175,32200,49200,0.513533246414602,0.710310559006211,0.810406504065041
"Virginia",59321,NA,235390,409135,605490,0.747988444708781,0.855008737947132,0.902028109465061
"Washington",65630,NA,220830,393470,610130,0.702803061178282,0.833202023025898,0.892432760231426
"West Virginia",16130,NA,53190,87395,122675,0.69674750893025,0.81543566565593,0.868514367230487
"Wisconsin",34222,NA,179590,328570,506310,0.809443732947269,0.895845634111453,0.932408998439691
"Wyoming",2704,NA,16055,28450,43190,0.831578947368421,0.904956063268893,0.937392915026626
"Guam",2621,NA,NA,NA,NA,NA,NA,NA
"Northern Mariana Islands",368,NA,NA,NA,NA,NA,NA,NA
"Puerto Rico",33904,NA,120800,170950,237705,0.719337748344371,0.801673003802281,0.857369428493301
"U.S. Virgin Islands",2152,NA,NA,NA,NA,NA,NA,NA
