"code","name.x","total_units","total_units_flag","under_30","under_50","under_80","vg_30","vg_50","vg_80"
"01001020100","AL Alabama Autauga County 020100",1,NA,45,75,100,0.977777777777778,0.986666666666667,0.99
"01001020200","AL Alabama Autauga County 020200",5,NA,20,50,65,0.75,0.9,0.923076923076923
"01001020300","AL Alabama Autauga County 020300",5,NA,35,125,250,0.857142857142857,0.96,0.98
"01001020400","AL Alabama Autauga County 020400",1,NA,15,30,205,0.933333333333333,0.966666666666667,0.995121951219512
"01001020500","AL Alabama Autauga County 020500",71,"Not applicable",NA,NA,NA,NA,NA,NA
"01001020600","AL Alabama Autauga County 020600",0,NA,20,50,60,1,1,1
"01001020700","AL Alabama Autauga County 020700",4,NA,80,125,195,0.95,0.968,0.979487179487179
"01001020802","AL Alabama Autauga County 020802",1,"Not applicable",NA,NA,NA,NA,NA,NA
"01001021100","AL Alabama Autauga County 021100",1,NA,90,105,150,0.988888888888889,0.990476190476191,0.993333333333333
"01001999999","AL Alabama Autauga County 999999",0,"Not applicable",NA,NA,NA,NA,NA,NA
"01003010200","AL Alabama Baldwin County 010200",3,NA,110,155,240,0.972727272727273,0.980645161290323,0.9875
"01003010300","AL Alabama Baldwin County 010300",4,NA,85,140,215,0.952941176470588,0.971428571428571,0.981395348837209
"01003010400","AL Alabama Baldwin County 010400",14,NA,45,130,140,0.688888888888889,0.892307692307692,0.9
"01003010500","AL Alabama Baldwin County 010500",10,NA,110,180,355,0.909090909090909,0.944444444444444,0.971830985915493
"01003010600","AL Alabama Baldwin County 010600",18,NA,330,405,430,0.945454545454545,0.955555555555556,0.958139534883721
"01003010703","AL Alabama Baldwin County 010703",14,"Not applicable",NA,NA,NA,NA,NA,NA
"01003010705","AL Alabama Baldwin County 010705",21,"Not applicable",NA,NA,NA,NA,NA,NA
"01003010800","AL Alabama Baldwin County 010800",1,NA,130,245,495,0.992307692307692,0.995918367346939,0.997979797979798
"01003010903","AL Alabama Baldwin County 010903",5,NA,70,185,415,0.928571428571429,0.972972972972973,0.987951807228916
"01003010904","AL Alabama Baldwin County 010904",10,NA,35,225,300,0.714285714285714,0.955555555555556,0.966666666666667
"01003010905","AL Alabama Baldwin County 010905",14,"Not applicable",NA,NA,NA,NA,NA,NA
"01003010906","AL Alabama Baldwin County 010906",13,NA,135,260,325,0.903703703703704,0.95,0.96
"01003011000","AL Alabama Baldwin County 011000",6,NA,90,120,235,0.933333333333333,0.95,0.974468085106383
"01003011101","AL Alabama Baldwin County 011101",3,"Not applicable",NA,NA,NA,NA,NA,NA
"01003011102","AL Alabama Baldwin County 011102",3,NA,80,90,110,0.9625,0.966666666666667,0.972727272727273
"01003011201","AL Alabama Baldwin County 011201",1,NA,125,210,415,0.992,0.995238095238095,0.997590361445783
"01003011202","AL Alabama Baldwin County 011202",10,NA,205,270,270,0.951219512195122,0.962962962962963,0.962962962962963
"01003011401","AL Alabama Baldwin County 011401",25,"Not applicable",NA,NA,NA,NA,NA,NA
"01003011403","AL Alabama Baldwin County 011403",10,"Not applicable",NA,NA,NA,NA,NA,NA
